Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances
yeremy-pino,Villarreal CF,7.0285714285714,49.2,0,0,1.4243,0.49704241,131,27,158,9,4,0,4,9,479,7
alejandro-baena,Villarreal CF,7.2484848484848,239.2,2,13,8.0281,9.22174799,804,223,1027,25,10,1,25,72,2536,33
dani-parejo,Villarreal CF,7.1612903225806,222.0,3,5,2.9284,3.92923927,1547,169,1716,19,4,0,6,12,2514,31
denis-suarez,Villarreal CF,6.725,26.9,0,0,0.0908,0.60536817,76,13,89,5,0,0,0,1,138,4
etienne-capoue,Villarreal CF,6.7774193548387,210.1,1,1,0.8882,0.98982952,672,102,774,21,8,0,5,13,1449,31
francis-coquelin,Villarreal CF,6.74375,107.9,0,0,0.1108,0.58527538,352,49,401,3,4,0,0,3,874,16
santi-comesana,Villarreal CF,6.732,168.3,2,0,1.681,1.27017415,653,93,746,17,6,2,6,14,1481,25
manu-trigueros,Villarreal CF,6.65,79.8,0,0,0.4516,0.16792902,100,18,118,0,0,0,3,5,252,13
ramon-terrats,Villarreal CF,6.675,106.8,0,2,0.3691,1.17857049,294,50,344,10,4,0,1,8,712,17
aissa-mandi,Villarreal CF,6.76,101.4,1,0,0.634,0.41795874,603,55,658,0,3,0,2,4,1028,15
juan-foyth,Villarreal CF,7.0,84.0,1,1,0.3912,0.85043623,477,99,576,20,1,0,2,6,1063,12
eric-bailly,Villarreal CF,6.7666666666667,60.9,0,0,0.2282,0.03599926,291,45,336,7,4,0,0,2,748,9
raul-albiol,Villarreal CF,6.82,170.5,0,1,0.4483,0.61492893,1066,170,1236,0,6,0,1,6,1990,25
yerson-mosquera,Villarreal CF,7.0714285714286,99.0,2,0,1.0029,0.24074515,523,89,612,4,3,0,3,8,1057,14
alberto-moreno,Villarreal CF,6.7923076923077,176.6,2,2,0.6837,1.61766533,462,95,557,5,0,2,5,16,1417,26
jorge-cuenca,Villarreal CF,6.862962962963,185.3,3,1,1.2247,0.73018292,875,164,1039,7,7,0,7,20,1861,27
alfonso-pedraza,Villarreal CF,6.6473684210526,126.3,1,3,0.6007,2.32381647,345,92,437,10,4,1,4,9,1119,19
kiko-femenia,Villarreal CF,6.7863636363636,149.3,0,0,0.0108,0.70638132,751,131,882,6,6,1,0,1,1497,22
pepe-reina,Villarreal CF,6.6,6.6,0,0,,0.00279089,23,8,31,0,2,1,0,0,90,1
filip-jorgensen,Villarreal CF,7.2457142857143,253.6,0,0,0.0,0.0407377128,846,246,1092,1,4,0,0,0,3150,35
alexander-sorloth,Villarreal CF,7.11875,227.8,19,6,11.0991,2.91527534,335,104,439,29,3,0,32,68,2384,32
gerard-moreno,Villarreal CF,7.3103448275862,212.0,10,4,9.6832,4.30939418,729,191,920,41,0,0,21,63,2156,29
goncalo-guedes,Villarreal CF,7.0,105.0,3,2,2.2222,0.74578632,209,49,258,7,0,0,8,23,834,15
jose-luis-morales,Villarreal CF,6.6535714285714,186.3,6,0,4.7165,0.82140387,140,45,185,8,0,0,10,22,994,28
ilias-akhomach,Villarreal CF,6.7689655172414,196.3,2,2,3.1134,2.44896823,334,84,418,54,4,0,7,28,1465,29
bertrand-traore,Villarreal CF,6.9111111111111,62.2,1,0,0.7776,0.49261554,123,28,151,6,2,0,6,16,439,9
yeremy-pino,Villarreal CF,7.0285714285714,49.2,0,0,1.4243,0.49704241,131,27,158,9,4,0,4,9,479,7
alejandro-baena,Villarreal CF,7.2484848484848,239.2,2,13,8.0281,9.22174799,804,223,1027,25,10,1,25,72,2536,33
dani-parejo,Villarreal CF,7.1612903225806,222.0,3,5,2.9284,3.92923927,1547,169,1716,19,4,0,6,12,2514,31
denis-suarez,Villarreal CF,6.725,26.9,0,0,0.0908,0.60536817,76,13,89,5,0,0,0,1,138,4
etienne-capoue,Villarreal CF,6.7774193548387,210.1,1,1,0.8882,0.98982952,672,102,774,21,8,0,5,13,1449,31
francis-coquelin,Villarreal CF,6.74375,107.9,0,0,0.1108,0.58527538,352,49,401,3,4,0,0,3,874,16
santi-comesana,Villarreal CF,6.732,168.3,2,0,1.681,1.27017415,653,93,746,17,6,2,6,14,1481,25
manu-trigueros,Villarreal CF,6.65,79.8,0,0,0.4516,0.16792902,100,18,118,0,0,0,3,5,252,13
ramon-terrats,Villarreal CF,6.675,106.8,0,2,0.3691,1.17857049,294,50,344,10,4,0,1,8,712,17
aissa-mandi,Villarreal CF,6.76,101.4,1,0,0.634,0.41795874,603,55,658,0,3,0,2,4,1028,15
juan-foyth,Villarreal CF,7.0,84.0,1,1,0.3912,0.85043623,477,99,576,20,1,0,2,6,1063,12
eric-bailly,Villarreal CF,6.7666666666667,60.9,0,0,0.2282,0.03599926,291,45,336,7,4,0,0,2,748,9
raul-albiol,Villarreal CF,6.82,170.5,0,1,0.4483,0.61492893,1066,170,1236,0,6,0,1,6,1990,25
yerson-mosquera,Villarreal CF,7.0714285714286,99.0,2,0,1.0029,0.24074515,523,89,612,4,3,0,3,8,1057,14
alberto-moreno,Villarreal CF,6.7923076923077,176.6,2,2,0.6837,1.61766533,462,95,557,5,0,2,5,16,1417,26
jorge-cuenca,Villarreal CF,6.862962962963,185.3,3,1,1.2247,0.73018292,875,164,1039,7,7,0,7,20,1861,27
alfonso-pedraza,Villarreal CF,6.6473684210526,126.3,1,3,0.6007,2.32381647,345,92,437,10,4,1,4,9,1119,19
kiko-femenia,Villarreal CF,6.7863636363636,149.3,0,0,0.0108,0.70638132,751,131,882,6,6,1,0,1,1497,22
pepe-reina,Villarreal CF,6.6,6.6,0,0,,0.00279089,23,8,31,0,2,1,0,0,90,1
filip-jorgensen,Villarreal CF,7.2457142857143,253.6,0,0,0.0,0.0407377128,846,246,1092,1,4,0,0,0,3150,35
andre-silva,Real Sociedad,6.6294117647059,112.7,3,0,3.3006,0.22228973,129,29,158,6,1,0,6,16,736,18
mikel-oyarzabal,Real Sociedad,6.8709677419355,213.0,9,2,8.8507,1.31800081,360,110,470,9,3,0,19,38,2045,31
umar-sadiq,Real Sociedad,6.7076923076923,174.4,3,1,3.6403,0.93075901,128,52,180,31,4,0,10,33,1106,26
sheraldo-becker,Real Sociedad,6.9615384615385,90.5,2,2,1.3415,1.73901799,119,41,160,3,0,0,9,19,609,13
ander-barrenetxea,Real Sociedad,6.8346153846154,177.7,4,1,3.5123,0.82409592,339,131,470,37,1,0,12,37,1365,27
carlos-fernandez,Real Sociedad,6.71,67.1,2,1,1.4966,0.202509595,44,38,82,3,3,0,4,9,411,10
kubo-takefusa,Real Sociedad,7.4107142857143,207.5,7,4,3.4738,6.24132455,539,129,668,51,2,0,20,45,2065,29
arsen-zakharyan,Real Sociedad,6.8185185185185,184.1,1,2,2.307,2.17884528,320,100,420,10,1,0,8,30,1166,27
martin-zubimendi,Real Sociedad,7.0645161290323,219.0,4,1,2.697,2.0138009,1318,208,1526,12,5,0,11,22,2655,31
mikel-merino,Real Sociedad,7.1774193548387,222.5,4,3,3.192,2.40786389,1044,301,1345,23,10,0,10,29,2395,31
brais-mendez,Real Sociedad,7.1766666666667,215.3,4,6,3.9911,4.29641339,838,198,1036,24,6,0,15,61,2254,30
benat-turrientes,Real Sociedad,6.7296296296296,181.7,0,1,1.164,0.51712408,531,83,614,20,3,0,10,22,1552,27
jon-ander-olasagasti,Real Sociedad,6.6818181818182,73.5,0,0,0.8122,0.1630024,116,37,153,6,2,0,0,8,325,12
alvaro-odriozola,Real Sociedad,6.575,52.6,0,0,,0.2097049,167,21,188,2,0,0,0,0,397,9
kieran-tierney,Real Sociedad,6.9333333333333,124.8,0,2,0.1897,1.09191254,502,134,636,6,1,0,0,2,1101,18
hamari-traore,Real Sociedad,6.9275862068966,200.9,0,2,0.5418,2.21518566,972,178,1150,16,6,0,2,18,2130,29
robin-le-normand,Real Sociedad,6.9724137931034,202.2,2,0,1.0855,0.78870788,1562,200,1762,1,13,0,5,8,2473,29
javi-galan,Real Sociedad,6.8222222222222,122.8,0,1,0.138,1.0714017,432,93,525,19,4,0,1,3,1084,18
igor-zubeldia,Real Sociedad,6.8466666666667,205.4,0,2,0.7605,0.80991156,1475,260,1735,4,11,1,0,12,2524,30
aihen-munoz,Real Sociedad,6.8380952380952,143.6,0,2,0.2932,0.89581529691,391,115,506,10,2,0,2,7,1132,21
aritz-elustondo,Real Sociedad,6.8461538461538,89.0,0,1,0.1877,0.07916731,290,42,332,2,2,0,2,5,636,13
jon-pacheco,Real Sociedad,6.825,136.5,1,1,1.0574,0.333575899,905,137,1042,4,7,0,3,6,1350,21
urko-gonzalez,Real Sociedad,6.575,26.3,0,0,0.0353,0.0395473,67,18,85,0,1,0,0,1,148,4
alex-remiro,Real Sociedad,7.08,247.8,0,0,0.0,0.05907596,818,275,1093,0,2,1,0,0,3096,35
unai-marrero,Real Sociedad,6.65,13.3,0,0,,0.05263072,23,17,40,0,0,0,0,0,141,2
andre-silva,Real Sociedad,6.6294117647059,112.7,3,0,3.3006,0.22228973,129,29,158,6,1,0,6,16,736,18
mikel-oyarzabal,Real Sociedad,6.8709677419355,213.0,9,2,8.8507,1.31800081,360,110,470,9,3,0,19,38,2045,31
umar-sadiq,Real Sociedad,6.7076923076923,174.4,3,1,3.6403,0.93075901,128,52,180,31,4,0,10,33,1106,26
sheraldo-becker,Real Sociedad,6.9615384615385,90.5,2,2,1.3415,1.73901799,119,41,160,3,0,0,9,19,609,13
ander-barrenetxea,Real Sociedad,6.8346153846154,177.7,4,1,3.5123,0.82409592,339,131,470,37,1,0,12,37,1365,27
carlos-fernandez,Real Sociedad,6.71,67.1,2,1,1.4966,0.202509595,44,38,82,3,3,0,4,9,411,10
kubo-takefusa,Real Sociedad,7.4107142857143,207.5,7,4,3.4738,6.24132455,539,129,668,51,2,0,20,45,2065,29
arsen-zakharyan,Real Sociedad,6.8185185185185,184.1,1,2,2.307,2.17884528,320,100,420,10,1,0,8,30,1166,27
martin-zubimendi,Real Sociedad,7.0645161290323,219.0,4,1,2.697,2.0138009,1318,208,1526,12,5,0,11,22,2655,31
mikel-merino,Real Sociedad,7.1774193548387,222.5,4,3,3.192,2.40786389,1044,301,1345,23,10,0,10,29,2395,31
brais-mendez,Real Sociedad,7.1766666666667,215.3,4,6,3.9911,4.29641339,838,198,1036,24,6,0,15,61,2254,30
benat-turrientes,Real Sociedad,6.7296296296296,181.7,0,1,1.164,0.51712408,531,83,614,20,3,0,10,22,1552,27
jon-ander-olasagasti,Real Sociedad,6.6818181818182,73.5,0,0,0.8122,0.1630024,116,37,153,6,2,0,0,8,325,12
alvaro-odriozola,Real Sociedad,6.575,52.6,0,0,,0.2097049,167,21,188,2,0,0,0,0,397,9
kieran-tierney,Real Sociedad,6.9333333333333,124.8,0,2,0.1897,1.09191254,502,134,636,6,1,0,0,2,1101,18
hamari-traore,Real Sociedad,6.9275862068966,200.9,0,2,0.5418,2.21518566,972,178,1150,16,6,0,2,18,2130,29
robin-le-normand,Real Sociedad,6.9724137931034,202.2,2,0,1.0855,0.78870788,1562,200,1762,1,13,0,5,8,2473,29
javi-galan,Real Sociedad,6.8222222222222,122.8,0,1,0.138,1.0714017,432,93,525,19,4,0,1,3,1084,18
igor-zubeldia,Real Sociedad,6.8466666666667,205.4,0,2,0.7605,0.80991156,1475,260,1735,4,11,1,0,12,2524,30
aihen-munoz,Real Sociedad,6.8380952380952,143.6,0,2,0.2932,0.89581529691,391,115,506,10,2,0,2,7,1132,21
aritz-elustondo,Real Sociedad,6.8461538461538,89.0,0,1,0.1877,0.07916731,290,42,332,2,2,0,2,5,636,13
jon-pacheco,Real Sociedad,6.825,136.5,1,1,1.0574,0.333575899,905,137,1042,4,7,0,3,6,1350,21
urko-gonzalez,Real Sociedad,6.575,26.3,0,0,0.0353,0.0395473,67,18,85,0,1,0,0,1,148,4
alex-remiro,Real Sociedad,7.08,247.8,0,0,0.0,0.05907596,818,275,1093,0,2,1,0,0,3096,35
unai-marrero,Real Sociedad,6.65,13.3,0,0,,0.05263072,23,17,40,0,0,0,0,0,141,2
gorka-guruzeta,Athletic Club,7.190625,230.1,14,5,11.7074,1.76133927,418,183,601,19,2,0,31,64,2240,32
asier-villalibre,Athletic Club,6.70625,107.3,2,1,1.7007,0.65370476,82,30,112,4,0,0,5,11,455,16
malcom-ares,Athletic Club,6.675,80.1,0,0,0.1045,0.07087378,79,14,93,15,2,0,0,4,272,12
inaki-williams,Athletic Club,7.3515151515152,242.6,12,3,8.8343,5.7412048,614,223,837,49,4,0,42,90,2773,33
nico-williams,Athletic Club,7.1068965517241,206.1,4,10,5.0622,7.37204056,479,127,606,82,4,1,16,50,2115,29
ander-herrera,Athletic Club,6.9454545454545,152.8,0,3,0.7332,1.90704806,628,98,726,5,4,0,2,14,1008,22
oihan-sancet,Athletic Club,6.92,207.6,4,5,6.2956,2.94116863,634,132,766,26,3,2,12,42,1991,30
iker-muniain,Athletic Club,6.7526315789474,128.3,1,0,1.4645,1.27684263,302,36,338,13,1,0,6,12,544,19
alex-berenguer,Athletic Club,6.8875,220.4,7,2,5.1543,3.31884004,306,117,423,20,4,0,12,31,1476,33
raul-garcia,Athletic Club,6.5166666666667,117.3,0,0,0.468,0.49053328,62,36,98,2,4,0,0,7,304,18
mikel-vesga,Athletic Club,6.837037037037,184.6,3,1,2.7129,1.24667331,635,179,814,2,2,0,7,19,1545,27
inigo-ruiz-de-galarreta,Athletic Club,6.9555555555556,187.8,1,1,0.2985,2.16239833,873,185,1058,20,5,0,2,9,1939,27
dani-garcia,Athletic Club,6.68125,106.9,1,0,0.7724,0.19420294,252,44,296,1,4,0,3,6,652,16
unai-gomez,Athletic Club,6.725,161.4,2,0,1.4152,0.7162876,185,46,231,11,1,0,8,15,845,24
benat-prados,Athletic Club,6.828,170.7,0,0,0.4863,0.96975772,597,123,720,12,1,0,4,7,1366,25
yuri-berchiche,Athletic Club,7.136,178.4,3,1,0.8589,1.98326154,821,166,987,8,5,0,6,16,1782,25
daniel-vivian,Athletic Club,6.9161290322581,214.4,0,0,0.6919,0.58169289,1377,255,1632,5,6,0,1,11,2744,31
yeray-alvarez,Athletic Club,6.7941176470588,115.5,0,0,0.2376,0.35535297,520,115,635,2,1,1,2,6,1020,17
oscar-de-marcos,Athletic Club,7.0259259259259,189.7,1,4,0.6317,3.19966087,934,191,1125,6,5,0,2,5,2171,27
aitor-paredes,Athletic Club,6.7969696969697,224.3,1,0,1.1865,0.3558216,1305,210,1515,2,7,1,3,14,2626,33
inigo-lekue,Athletic Club,6.7346153846154,175.1,0,2,0.167,0.86024535,806,192,998,18,4,0,0,5,1911,26
imanol-garcia-de-albeniz,Athletic Club,6.6625,53.3,0,0,0.0149,0.2865354,209,41,250,4,2,0,0,1,492,8
unai-simon,Athletic Club,7.08,247.8,0,0,0.0,0.07935778,573,474,1047,0,2,0,0,0,3122,35
julen-agirrezabala,Athletic Club,6.3,12.6,0,0,,0.00326061,24,18,42,0,0,0,0,0,118,2
gorka-guruzeta,Athletic Club,7.190625,230.1,14,5,11.7074,1.76133927,418,183,601,19,2,0,31,64,2240,32
asier-villalibre,Athletic Club,6.70625,107.3,2,1,1.7007,0.65370476,82,30,112,4,0,0,5,11,455,16
malcom-ares,Athletic Club,6.675,80.1,0,0,0.1045,0.07087378,79,14,93,15,2,0,0,4,272,12
inaki-williams,Athletic Club,7.3515151515152,242.6,12,3,8.8343,5.7412048,614,223,837,49,4,0,42,90,2773,33
nico-williams,Athletic Club,7.1068965517241,206.1,4,10,5.0622,7.37204056,479,127,606,82,4,1,16,50,2115,29
ander-herrera,Athletic Club,6.9454545454545,152.8,0,3,0.7332,1.90704806,628,98,726,5,4,0,2,14,1008,22
oihan-sancet,Athletic Club,6.92,207.6,4,5,6.2956,2.94116863,634,132,766,26,3,2,12,42,1991,30
iker-muniain,Athletic Club,6.7526315789474,128.3,1,0,1.4645,1.27684263,302,36,338,13,1,0,6,12,544,19
alex-berenguer,Athletic Club,6.8875,220.4,7,2,5.1543,3.31884004,306,117,423,20,4,0,12,31,1476,33
raul-garcia,Athletic Club,6.5166666666667,117.3,0,0,0.468,0.49053328,62,36,98,2,4,0,0,7,304,18
mikel-vesga,Athletic Club,6.837037037037,184.6,3,1,2.7129,1.24667331,635,179,814,2,2,0,7,19,1545,27
inigo-ruiz-de-galarreta,Athletic Club,6.9555555555556,187.8,1,1,0.2985,2.16239833,873,185,1058,20,5,0,2,9,1939,27
dani-garcia,Athletic Club,6.68125,106.9,1,0,0.7724,0.19420294,252,44,296,1,4,0,3,6,652,16
unai-gomez,Athletic Club,6.725,161.4,2,0,1.4152,0.7162876,185,46,231,11,1,0,8,15,845,24
benat-prados,Athletic Club,6.828,170.7,0,0,0.4863,0.96975772,597,123,720,12,1,0,4,7,1366,25
yuri-berchiche,Athletic Club,7.136,178.4,3,1,0.8589,1.98326154,821,166,987,8,5,0,6,16,1782,25
daniel-vivian,Athletic Club,6.9161290322581,214.4,0,0,0.6919,0.58169289,1377,255,1632,5,6,0,1,11,2744,31
yeray-alvarez,Athletic Club,6.7941176470588,115.5,0,0,0.2376,0.35535297,520,115,635,2,1,1,2,6,1020,17
oscar-de-marcos,Athletic Club,7.0259259259259,189.7,1,4,0.6317,3.19966087,934,191,1125,6,5,0,2,5,2171,27
aitor-paredes,Athletic Club,6.7969696969697,224.3,1,0,1.1865,0.3558216,1305,210,1515,2,7,1,3,14,2626,33
inigo-lekue,Athletic Club,6.7346153846154,175.1,0,2,0.167,0.86024535,806,192,998,18,4,0,0,5,1911,26
imanol-garcia-de-albeniz,Athletic Club,6.6625,53.3,0,0,0.0149,0.2865354,209,41,250,4,2,0,0,1,492,8
