Equipo,Jugador,Posición,Puntos,Precio,PJ,Casa,Fuera,Media,Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
Real Madrid,Modric,Centrocampista,197,30000000,32,15,17,6.16,luka-modric,Real Madrid,7.358064516129,228.1,2,6,1.2848,4.7580484,1407,138,1545,20,2,0,10,24,1669,31,15466
Real Sociedad,Mikel Merino,Centrocampista,196,38000000,32,15,17,6.13,mikel-merino,Real Sociedad,7.21875,231.0,5,3,3.2992,2.76313889,1069,311,1380,24,10,0,11,30,2485,32,592010
Real Madrid,Brahim,Delantero,196,36000000,31,16,15,6.32,brahim-diaz,Real Madrid,7.2,216.0,8,6,5.6762,4.66331376,607,90,697,55,0,0,17,38,1582,31,835485
Girona,Iván Martín,Centrocampista,196,11000000,36,18,18,5.44,inigo-martinez,Barcelona,7.0105263157895,133.2,0,0,0.37,0.4563035,948,123,1071,0,5,0,1,8,1212,19,173883
Barcelona,Fermín,Centrocampista,195,7000000,31,15,16,6.29,fermin-lopez,Barcelona,6.8965517241379,200.0,7,0,7.5215,1.03942503,479,87,566,21,2,0,24,49,1376,30,1153270
Athletic,Nico Williams,Delantero,192,35000000,31,16,15,6.19,nico-williams,Athletic Club,7.0966666666667,212.9,4,11,5.1499,7.45763176,504,132,636,84,4,1,18,52,2190,30,1085400
Girona,Tsygankov,Delantero,191,32000000,30,15,15,6.37,sergi-canos,Valencia CF,6.832,170.8,1,2,2.4844,1.47080371,226,104,330,17,2,0,17,40,1165,26,790833
Getafe,David Soria,Portero,189,17000000,38,19,19,4.97,david-soria,Getafe CF,7.0918918918919,262.4,0,0,0.0,0.11394329,555,592,1147,0,3,0,0,0,3330,37,604258
Celta,Mingueza,Defensa,189,9000000,38,19,19,4.97,oscar-mingueza,Celta de Vigo,7.0081081081081,259.3,2,2,2.613,6.10360933,1224,290,1514,35,4,0,12,27,2912,37,859773
Real Sociedad,Remiro,Portero,188,19000000,37,19,18,5.08,alex-remiro,Real Sociedad,7.1444444444444,257.2,0,0,0.0,0.06127094,837,287,1124,0,2,1,0,0,3186,36,791773
Real Madrid,Carvajal,Defensa,187,20000000,28,14,14,6.68,daniel-carvajal,Real Madrid,7.2384615384615,188.2,4,3,1.6194,3.08748235,1074,154,1228,9,2,1,10,17,2109,27,138572
Valencia,Mamardashvili,Portero,187,17000000,37,18,19,5.05,giorgi-mamardashvili,Valencia CF,7.1027777777778,255.7,0,0,0.0,0.07963554,440,502,942,0,3,1,0,0,3199,36,930997
Atlético,Samu Lino,Centrocampista,186,22000000,34,17,17,5.47,samuel-lino,Atlético Madrid,7.2,237.6,3,5,4.6098,3.42812311,751,150,901,40,0,0,20,50,2017,33,874705
Villarreal,Jörgensen,Portero,185,7000000,36,18,18,5.14,filip-jorgensen,Villarreal CF,7.2111111111111,259.6,0,0,0.0,0.0415946028,875,247,1122,1,4,0,0,0,3240,36,962053
Girona,Gazzaniga,Portero,184,14000000,38,19,19,4.84,assane-diao,Real Betis,6.6388888888889,119.5,2,0,2.4915,0.83255547,198,56,254,18,4,0,3,21,1056,18,1493689
Betis,Ayoze,Delantero,183,16000000,31,15,16,5.9,ayoze-perez,Real Betis,7.1033333333333,213.1,9,1,7.3341,2.91491639,526,139,665,49,4,0,25,66,2217,30,345195
Atlético,De Paul,Centrocampista,181,28000000,34,18,16,5.32,rodrigo-de-paul,Atlético Madrid,7.2515151515152,239.3,3,5,1.8102,5.78935474,1236,205,1441,26,7,0,12,30,2014,33,249399
Athletic,Unai Simón,Portero,180,17000000,36,18,18,5.0,unai-simon,Athletic Club,7.08,247.8,0,0,0.0,0.07935778,573,474,1047,0,2,0,0,0,3122,35,797291
Getafe,Maksimovic,Centrocampista,180,16000000,37,19,18,4.86,nemanja-maksimovic,Getafe CF,6.9527777777778,250.3,4,0,5.5098,1.58896864,802,182,984,6,4,0,15,34,3182,36,331449
Sevilla,En-Nesyri,Delantero,179,33000000,33,16,17,5.42,youssef-en-nesyri,Sevilla FC,6.93125,221.8,15,2,10.3171,0.83177248,192,108,300,10,4,0,29,69,2484,32,846470
Girona,Yan Couto,Defensa,177,12000000,34,17,17,5.21,thibaut-courtois,Real Madrid,8.2666666666667,24.8,0,0,,0.01707808,70,10,80,0,0,0,0,0,270,3,70988
Atlético,Llorente,Centrocampista,175,27000000,37,19,18,4.73,marcos-llorente,Atlético Madrid,6.9666666666667,250.8,6,3,4.0615,4.2364933,855,168,1023,10,5,0,17,28,2480,36,353138
Atlético,Morata,Delantero,174,33000000,32,15,17,5.44,alvaro-morata,Atlético Madrid,6.9870967741935,216.6,15,2,13.3593,1.22577743,262,108,370,17,2,1,34,66,1894,31,125407
Sevilla,Ocampos,Delantero,174,19000000,35,17,18,4.97,lucas-ocampos,Sevilla FC,7.0735294117647,240.5,4,3,5.2079,3.79905413,696,254,950,48,8,0,23,63,2795,34,155702
Las Palmas,Sergi Cardona,Defensa,174,10000000,35,17,18,4.97,sergi-cardona,Las Palmas,7.0971428571429,248.4,1,2,2.6694,3.66481811,1429,304,1733,17,10,0,5,26,2816,35,986245
Girona,Yangel Herrera,Centrocampista,173,21000000,29,16,13,5.97,ander-herrera,Athletic Club,6.9260869565217,159.3,0,3,0.7332,1.91072913,638,99,737,5,4,0,2,14,1023,23,82474
Getafe,Mayoral,Delantero,172,14000000,27,13,14,6.37,borja-mayoral,Getafe CF,7.0407407407407,190.1,15,1,11.8635,1.324124,414,119,533,18,2,0,27,47,2162,27,604954
Real Madrid,Camavinga,Centrocampista,171,33000000,31,15,16,5.52,camavinga-eduardo,Real Madrid,7.1866666666667,215.6,0,2,0.9203,1.69870148,1129,108,1237,35,9,0,7,17,1750,30,973887
Alavés,Rioja,Delantero,171,11000000,37,19,18,4.62,mariano-diaz,Sevilla FC,6.65,53.2,0,0,1.1584,0.09400162,30,15,45,1,1,0,1,13,248,8,175753
Barcelona,Koundé,Defensa,170,31000000,35,17,18,4.86,jules-kounde,Barcelona,7.1617647058824,243.5,1,2,2.0684,2.55348589,2231,223,2454,16,4,0,7,24,2809,34,827212
Mallorca,Darder,Centrocampista,170,23000000,36,18,18,4.72,sergi-darder,RCD Mallorca,7.0628571428571,247.2,2,5,2.2269,5.01699791,637,164,801,32,4,0,12,32,2084,35,110783
Girona,Portu,Delantero,170,11000000,36,20,16,4.72,sokratis,Real Betis,6.7142857142857,94.0,0,0,0.2114,0.10401473,486,65,551,0,5,0,1,1,1050,14,13108
Mallorca,Muriqi,Delantero,169,37000000,29,14,15,5.83,vedat-muriqi,RCD Mallorca,7.0928571428571,198.6,6,2,9.6356,1.80823135,401,228,629,13,5,0,24,64,2296,28,310874
Rayo Vallecano,Isi Palazón,Delantero,168,41000000,37,19,18,4.54,isi-palazon,Rayo Vallecano,6.9194444444444,249.1,4,1,5.8777,2.20177169,782,263,1045,35,8,0,33,71,2788,36,899982
