Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
antoine-griezmann,Atlético Madrid,7.459375,238.7,16,6,12.4435,5.74941775,1000,211,1211,22,5,0,34,79,2564,32,85859
memphis-depay,Atlético Madrid,6.8090909090909,149.8,5,1,5.7623,1.60878928,188,59,247,18,2,0,15,38,894,23,138833
alvaro-morata,Atlético Madrid,6.9870967741935,216.6,15,2,13.3593,1.22577743,262,108,370,17,2,1,34,66,1894,31,125407
angel-correa,Atlético Madrid,7.0193548387097,217.6,9,2,7.7977,3.46169233,357,94,451,26,3,0,20,41,1462,31,316152
samuel-lino,Atlético Madrid,7.2,237.6,3,5,4.6098,3.42812311,751,150,901,40,0,0,20,50,2017,33,874705
rodrigo-de-paul,Atlético Madrid,7.2515151515152,239.3,3,5,1.8102,5.78935474,1236,205,1441,26,7,0,12,30,2014,33,249399
marcos-llorente,Atlético Madrid,6.9666666666667,250.8,6,3,4.0615,4.2364933,855,168,1023,10,5,0,17,28,2480,36,353138
koke,Atlético Madrid,7.0424242424242,232.4,0,4,0.4174,2.83876056,1989,199,2188,5,4,0,2,10,2412,34,84539
saul-niguez,Atlético Madrid,6.95,222.4,1,5,1.4741,2.06040423,538,117,655,8,8,0,4,16,1352,33,116955
arthur-vermeeren,Atlético Madrid,6.5,26.0,0,0,,0.01956318,57,14,71,0,1,0,0,0,101,4,1149127
thomas-lemar,Atlético Madrid,6.6333333333333,19.9,0,0,0.1638,0.0772158,69,8,77,1,0,0,0,2,166,3,191182
rodrigo-riquelme,Atlético Madrid,6.8757575757576,226.9,3,5,2.7374,3.65760301,451,118,569,23,1,0,16,37,1494,33,989113
pablo-barrios,Atlético Madrid,6.9875,167.7,0,1,0.926,1.02983448,724,119,843,35,5,0,7,17,1556,24,1142588
nahuel-molina,Atlético Madrid,6.8166666666667,204.5,2,3,1.2729,2.17743768,783,235,1018,16,4,1,5,12,1856,30,831799
cesar-azpilicueta,Atlético Madrid,6.8608695652174,157.8,0,2,0.6468,1.93219076,753,123,876,1,4,0,2,2,1337,24,21555
axel-witsel,Atlético Madrid,6.9794117647059,237.3,2,0,0.9884,0.24022226,1645,141,1786,5,5,0,3,7,2694,34,35612
