Equipo;Jugador;Posición;Puntos;Precio;PJ;Casa;Fuera;Media
Real Sociedad;Merquelanz;Delantero;0;9000000;0;0;0;0.00
Real Madrid;Álvaro Rodríguez;Delantero;0;9000000;1;1;0;0.00
Atlético;Vitolo;Centrocampista;0;8000000;0;0;0;0.00
Girona;Juan Carlos;Portero;0;8000000;0;0;0;0.00
Girona;Joel Roca;Delantero;0;8000000;0;0;0;0.00
Atlético;Moldovan;Portero;0;8000000;0;0;0;0.00
Girona;Fuidias;Portero;0;7000000;0;0;0;0.00
Real Sociedad;Pablo Marín;Centrocampista;0;7000000;0;0;0;0.00
Sevilla;Matías Árbol;Portero;0;7000000;0;0;0;0.00
Sevilla;Alberto Flores;Portero;0;7000000;0;0;0;0.00
Athletic;Adama Boiro;Defensa;0;7000000;0;0;0;0.00
